No,시도,구군,국민행복지수,행복역량지수,여가,사회관계,교육,경제,환경,안전,건강
198,경상북도,의성군,e,0.3102,0.513,0.033,0.0836,0.0567,0.7042,0.7196,0.2237
199,경상북도,청송군,d,0.3882,0.7737,0.5349,0.4436,0.1531,0.6717,0.8442,0.0907
200,경상북도,영양군,e,0.3274,0.6527,0.4313,0.1529,,0.7698,0.8188,0.0987
201,경상북도,영덕군,e,0.3087,0.3577,0.4675,0.0139,0.1274,0.4786,0.3569,0.3655
202,경상북도,청도군,c,0.3616,0.4856,0.1803,0.2946,0.1835,0.8228,0.3543,0.3591
203,경상북도,고령군,b,0.4033,0.7581,0.341,0.4778,0.5104,0.8211,0.7428,
204,경상북도,성주군,b,0.4443,0.3945,0.0929,0.252,0.3541,0.7352,0.4864,0.5303
205,경상북도,칠곡군,d,0.4604,0.4719,0.478,0.8217,0.5639,0.6182,0.4379,0.2622
206,경상북도,예천군,d,0.2941,0.6828,0.5684,0.2797,0.0311,0.6424,0.4022,0.1455
207,경상북도,봉화군,e,0.3097,0.6816,0.2471,0.0272,0.1169,0.6308,0.6992,0.1613
208,경상북도,울진군,e,0.2951,0.558,0.6763,0.1987,0.3157,0.618,0.3581,0.0535
209,경상북도,울릉군,a,0.5255,0.6406,0.8096,0.3,0.5682,0.7662,1,0.1876
210,경상남도,진주시,a,0.4988,0.3348,0.3187,0.9004,0.4046,0.7452,0.3993,0.4732
211,경상남도,통영시,e,0.3843,0.4245,0.2249,0.8503,0.3619,0.5954,0.3615,0.2398
212,경상남도,사천시,d,0.4109,0.4213,0.3434,0.8182,0.3999,0.6964,0.242,0.3079
213,경상남도,김해시,d,0.4038,0.1475,0.4835,0.9055,0.5228,0.6984,0.264,0.2019
214,경상남도,밀양시,c,0.425,0.535,0.3838,0.6355,0.207,0.7807,0.617,0.2676
215,경상남도,거제시,e,0.3332,0.1987,0.3562,0.6174,0.6011,0.5248,0.2521,0.1163
216,경상남도,양산시,b,0.496,0.2007,0.6759,0.5557,0.5173,0.6661,0.2798,0.5265
217,경상남도,창원시,d,0.4422,0.123,0.5297,0.9113,0.5637,0.5311,0.4125,0.2656
218,경상남도,의령군,a,0.474,0.8145,0.3957,0.4605,0.1227,0.8567,0.5732,0.4545
219,경상남도,함안군,b,0.5133,0.5221,0.6543,0.7669,0.6504,0.589,0.5355,0.304
220,경상남도,창녕군,a,0.544,0.4935,0.3526,0.308,0.3175,0.8946,0.698,0.6022
221,경상남도,고성군,b,0.4971,0.4154,0.2248,0.6217,0.3232,0.8042,0.7044,0.4364
222,경상남도,남해군,d,0.4495,0.5354,0.3728,0.6532,0.199,0.841,0.7821,0.2455
223,경상남도,하동군,d,0.3563,0.4708,0.6235,0.3184,0.1811,0.7235,0.4709,0.2093
224,경상남도,산청군,c,0.3934,0.7607,0.3351,0.4212,0.1208,0.8105,0.4006,0.3469
225,경상남도,함양군,c,0.3867,0.6758,0.2192,0.5064,0.1401,0.7717,0.7012,0.2036
226,경상남도,거창군,d,0.4061,0.4838,0.5717,0.8178,0.1799,0.7998,0.4392,0.215
227,경상남도,합천군,e,0.3021,0.79,0.051,0.164,0.0373,0.9117,0.4268,0.2128
228,제주특별자치도,제주시,b,0.4481,0.6948,0.6107,0.6468,0.425,0.6842,0.4461,0.2537
229,제주특별자치도,서귀포시,b,0.4481,0.6948,0.6107,0.6468,0.425,0.6842,0.4461,0.2537
